scene_id,lr_product,hr_product,region,date,gsd,cloud_fraction,registration_rmse
scene_0,SYNTH_S2_SCENE_000,SYNTH_HR_REF_000,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_1,SYNTH_S2_SCENE_001,SYNTH_HR_REF_001,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_2,SYNTH_S2_SCENE_002,SYNTH_HR_REF_002,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_3,SYNTH_S2_SCENE_003,SYNTH_HR_REF_003,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_4,SYNTH_S2_SCENE_004,SYNTH_HR_REF_004,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_6,SYNTH_S2_SCENE_006,SYNTH_HR_REF_006,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_7,SYNTH_S2_SCENE_007,SYNTH_HR_REF_007,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_8,SYNTH_S2_SCENE_008,SYNTH_HR_REF_008,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_10,SYNTH_S2_SCENE_010,SYNTH_HR_REF_010,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_11,SYNTH_S2_SCENE_011,SYNTH_HR_REF_011,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_12,SYNTH_S2_SCENE_012,SYNTH_HR_REF_012,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_13,SYNTH_S2_SCENE_013,SYNTH_HR_REF_013,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_14,SYNTH_S2_SCENE_014,SYNTH_HR_REF_014,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_17,SYNTH_S2_SCENE_017,SYNTH_HR_REF_017,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_20,SYNTH_S2_SCENE_020,SYNTH_HR_REF_020,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_21,SYNTH_S2_SCENE_021,SYNTH_HR_REF_021,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_22,SYNTH_S2_SCENE_022,SYNTH_HR_REF_022,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_23,SYNTH_S2_SCENE_023,SYNTH_HR_REF_023,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_25,SYNTH_S2_SCENE_025,SYNTH_HR_REF_025,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_26,SYNTH_S2_SCENE_026,SYNTH_HR_REF_026,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_27,SYNTH_S2_SCENE_027,SYNTH_HR_REF_027,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_28,SYNTH_S2_SCENE_028,SYNTH_HR_REF_028,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_31,SYNTH_S2_SCENE_031,SYNTH_HR_REF_031,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_32,SYNTH_S2_SCENE_032,SYNTH_HR_REF_032,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_33,SYNTH_S2_SCENE_033,SYNTH_HR_REF_033,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_34,SYNTH_S2_SCENE_034,SYNTH_HR_REF_034,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_35,SYNTH_S2_SCENE_035,SYNTH_HR_REF_035,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_36,SYNTH_S2_SCENE_036,SYNTH_HR_REF_036,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_37,SYNTH_S2_SCENE_037,SYNTH_HR_REF_037,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_39,SYNTH_S2_SCENE_039,SYNTH_HR_REF_039,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_40,SYNTH_S2_SCENE_040,SYNTH_HR_REF_040,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_41,SYNTH_S2_SCENE_041,SYNTH_HR_REF_041,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_42,SYNTH_S2_SCENE_042,SYNTH_HR_REF_042,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_43,SYNTH_S2_SCENE_043,SYNTH_HR_REF_043,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_44,SYNTH_S2_SCENE_044,SYNTH_HR_REF_044,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_46,SYNTH_S2_SCENE_046,SYNTH_HR_REF_046,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_47,SYNTH_S2_SCENE_047,SYNTH_HR_REF_047,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_48,SYNTH_S2_SCENE_048,SYNTH_HR_REF_048,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
scene_49,SYNTH_S2_SCENE_049,SYNTH_HR_REF_049,Synthetic Calibration Pattern,2024-03-15,10.0m,0.01,0.0
